ticker,filing_date,fiscal_year_end,accession_no,geo_type,geo_name,home_count,avg_monthly_rent,occupancy_pct
INVH,2026-02-19,2025-12-31,0001687229-26-000016,total,portfolio,86192.0,,96.8
AMH,2026-02-20,2025-12-31,0001562401-26-000010,total,portfolio,57573.0,,
MRP,2026-03-02,2025-12-31,0002017206-26-000002,total,portfolio,142139.0,,
SUI,2026-02-25,2025-12-31,0000912593-26-000086,total,portfolio,10923.0,1384.0,97.9
ELS,2026-02-17,2025-12-31,0001628280-26-008722,total,portfolio,453.0,,
UMH,2026-02-25,2025-12-31,0001493152-26-008042,total,portfolio,19400.0,,88.1
EQR,2026-02-13,2025-12-31,0001193125-26-051433,total,portfolio,85190.0,,99.1
AVB,2026-02-27,2025-12-31,0000915912-26-000004,total,portfolio,98694.0,,90.0
MAA,2026-02-06,2025-12-31,0001193125-26-041208,total,portfolio,5995.0,,90.0
CPT,2026-02-12,2025-12-31,0001628280-26-007697,total,portfolio,59921.0,2006.0,95.0
UDR,2026-02-17,2025-12-31,0000074208-26-000013,total,portfolio,55240.0,,90.0
ESS,2026-02-20,2025-12-31,0000920522-26-000003,total,portfolio,63077.0,,85.0
AIV,2026-03-02,2025-12-31,0001193125-26-085547,total,portfolio,2024.0,,
IRT,2026-02-17,2025-12-31,0001437749-26-004376,total,portfolio,33462.0,,90.0
NXRT,2026-02-26,2025-12-31,0001193125-26-077343,total,portfolio,,,
BRT,2026-03-12,2025-12-31,0000014846-26-000007,total,portfolio,,,93.8
VRE,2026-03-23,2025-12-31,0001628280-26-020558,total,portfolio,,,
ELME,2026-04-28,2025-12-31,0000104894-26-000015,total,portfolio,,,
WELL,2026-02-12,2025-12-31,0000766704-26-000010,total,portfolio,2500.0,,
VTR,2026-02-06,2025-12-31,0000740260-26-000006,total,portfolio,1409.0,,
